"Timestamp","1. Where do you live during the Pandemic?","2. Currently, are you living with?","3. What is your age (choose the best match range)?","4. Your Gender?","4. Your Profession?","5. What is your current salary range? (monthly)","6. Does the Covid-19 pandemic affect your financial condition?","7. How frequently you order food online?","8. Did you order food online during the Covid-19 pandemic?","9. Do you feel safe using OFD (Online Food Ordering) during the Covid-19  pandemic?","10. If yes or no, please share the reason?","11. Do you think the restaurant food quality is maintained when you order online during the Covid-19 pandemic?","12. Do you prefer third-party apps (For example FoodPanda / PathaoFood ) more than a restaurant's website to order food online?","13. Which apps did you use so far for online food ordering?","14. Your preferred payment method for OFD (Online Food Delivery)?","15. Do you think the restaurant rating system in OFD help to order good quality food?  ","16. What do you think OFD (Online Food Delivery) should improve during a pandemic?","17. Do you feel OFD ensures timeliness?","18. Do you think OFD provides food less cost then restaurants?","19. When is the best time to use OFD (Online Food Delivery) for you?","20. Did you face any issue describing your address to the delivery man while using (Online Food Delivery) during the pandemic?","21. What encourages you most to use OFD (Online Food Delivery) during a pandemic? ","22. What safety measure you notice OFD providers take to ensure safety for the Covid-19  pandemic?","23. Did you notice any difference in OFD (Online Food Delivery) before and after the pandemic?","24. If yes what's the difference?","25. Did you face any issues using OFD  during the pandemic?","26. Did OFD (Online Food Delivery) owners take any steps to solve the issues you have faced?","27. Any Comments?"
"2020/10/23 12:33:55 AM GMT+6","Urban area","Family","19-25 Years","Male","Student","less than 20,000 BDT","Partially","Weekly","At least 5 times","Not always","There is a risk that the restaurant or deliveryman is not careful with preparing or packaging the food","Not Always","Yes","Foodpanda;Shohoz Food;Pathao Food;Specific restaurants own website / App / portal (Ex. Pizza Hut);Uber Eats;Restaurants Facebook Page","Cash on delivery","Yes","","Not Always","No","Evening","Yes","Dine in insecurity during pendemic;Safety issue;Save time and effort","Their advertisement of hygiene;Cashless payment system","Yes","Add contactless delivery;promote cashless delivery;sanitation for delivery man","No safety measures;excessive delay in delivary;bad packaging","responded lately",""
"2020/10/23 12:45:30 AM GMT+6","Urban area","Family","19-25 Years","Male","student","less than 20,000 BDT","Partially","Occationally","Once / Twice","Not always","I am not sure","Not Always","Sometimes","Specific restaurants own website / App / portal (Ex. Pizza Hut)","Cash on delivery","Yes","Yes","Yes","No","Night","Yes","Dine in insecurity during pendemic;Enthusiasm for food","Their advertisement of hygiene;Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","Add sanitation option;sanitation for delivery man","Delivary  man cant get the location","responded immidiately",""
"2020/10/23 1:14:51 AM GMT+6","Urban area","Family","19-25 Years","Male","student","less than 20,000 BDT","Yes","Occationally","never","Not always","no money in pocket during corona.. sadlife 🙂","Not Always","Yes","Foodpanda","Cash on delivery","Yes","no idea","Not Always","Yes","Evening","No","Discount","Their advertisement of hygiene","Yes","Add sanitation option","no idea","responded lately","i need free food"
"2020/10/23 2:17:42 AM GMT+6","Urban area","Family","19-25 Years","Male","Software Engineer","20,000 to 40,000 BDT","No","Occationally","never","Yes","don't have to go outside","Yes","Yes","Pathao Food","Cash on delivery","Yes","hygiene maintenance","Yes","No","Evening","No","Save time and effort","Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","sanitation for delivery man","","responded immidiately","26th question shouldn't be mandatory or should have a option - ""didn't face any issue"" . As i haven't faced any issue , i can't answer that but i can't complete the survey without answering which is misleading."
"2020/10/23 2:57:59 AM GMT+6","Urban area","Family","19-25 Years","Male","Student","less than 20,000 BDT","Yes","Occationally","never","Not always","Health safety issues ","Not Always","Yes","Foodpanda","Cash on delivery","Yes","Safety precautions","No","No","Night","No","","Restaurants with Hygiene tag(where OFD ensures food  safety)","No","","","I didn't face problem",""
"2020/10/23 2:58:25 AM GMT+6","Urban area","Family","19-25 Years","Female","Student","No income","No","Occationally","More than 10 time","Yes","I think their packaging is okay to trust ","Yes","Yes","Foodpanda;Pathao Food","Cash on delivery","Yes","Hygiene, safety","Yes","Yes","Afternoon","Yes","Promo codes;Free Delivery;Save time and effort","Contact less delivery;Their advertisement of hygiene;Cashless payment system","","Add sanitation option","No safety measures;bad packaging","responded lately",""
"2020/10/23 11:20:09 AM GMT+6","Rural area","Family","19-25 Years","Male","student","No income","Partially","Never","Once / Twice","No","virus,unhygienic ","Yes","Yes","Foodpanda;Restaurants Facebook Page","Cash on delivery","Yes","cost decreases ","No","No","Night","No","Promo codes;Free Delivery;Discount;Safety issue;Save time and effort","Cashless payment system","No","","No safety measures","I didn't face problem",""
"2020/10/23 11:58:36 AM GMT+6","Sub Urban area","Family","19-25 Years","Male","Student","No income","Yes","Occationally","Once / Twice","Yes","Delivery man delivers food at the doorstep knocking at the door, and we receive delivery with antiseptic spray after delivery man leaves. We used envelop for payment.","Not Always","Sometimes","Foodpanda","Cash on delivery","Maybe","They must be on time,","Not Always","No","Evening","Yes","Discount;Safety issue","Contact less delivery;Free Sanitization tool (ex. Alchohol Pad) provided for disinfection","Yes","Add contactless delivery;sanitation for delivery man","excessive delay in delivary;bad packaging;Delivary  man cant get the location","Did not response","Best of luck.😇"
"2020/10/23 12:17:36 PM GMT+6","Urban area","Alone","19-25 Years","Prefer not to say","student","No income","Partially","Monthly","Once / Twice","Yes","it felt safer to eat at home than going outside to eat","Yes","Yes","Foodpanda","Cash on delivery","Yes","","Not Always","Yes","Afternoon","Yes","Safety issue;Save time and effort","Contact less delivery;Their advertisement of hygiene;Free Sanitization tool (ex. Alchohol Pad) provided for disinfection;Cashless payment system","Yes","Add sanitation option","","I didn't face problem",""
"2020/10/23 4:26:45 PM GMT+6","Urban area","Family","19-25 Years","Male","Student","No income","Yes","Occationally","never","No","Afraid of coronavirus being spread","Not Always","Yes","Foodpanda","Cash on delivery","Maybe","Highest level of safety","Yes","No","Evening","No","","Contact less delivery;Their advertisement of hygiene","","","","I didn't face problem",""
"2020/10/23 4:28:52 PM GMT+6","Urban area","Family","19-25 Years","Female","Student ","No income","Yes","Monthly","At least 5 times","Yes","Yes because I don’t have to go outside and can receive my parcel without contact which is more safer than going to a restaurant ","Not Always","Yes","Foodpanda;Restaurants Facebook Page","MFS (bkash /Nogodh )","Yes","","Not Always","No","Evening","No","Promo codes;Free Delivery;Discount;Safety issue;Save time and effort;Enthusiasm for food","Contact less delivery;Their advertisement of hygiene;Cashless payment system","Yes","Add contactless delivery","bad packaging","I didn't face problem",""
"2020/10/24 12:48:18 AM GMT+6","Urban area","Family","19-25 Years","Male","Student","less than 20,000 BDT","Yes","Weekly","More than 10 time","Yes","Everyone tries to maintain social distancing","Yes","Yes","Foodpanda","Cash on delivery","Yes","","Yes","No","Afternoon","No","Promo codes;Free Delivery;Discount","Contact less delivery;Their advertisement of hygiene","Yes","Add contactless delivery;promote cashless delivery","No safety measures","I didn't face problem",""
"2020/10/25 10:46:38 PM GMT+6","Urban area","Alone","19-25 Years","Male","Software Engineer","40,000 to 60,000 BDT","No","Daily","More than 10 time","Yes","No","Not Always","Yes","Efood","Cash on delivery","Yes","Yes","Not Always","No","Evening","Yes","Promo codes;Save time and effort","Cashless payment system","No","promote cashless delivery","damage food;Item missing","Did not response",""
"2020/11/14 11:51:25 AM GMT+6","Urban area","Family","36-50 Years","Male","Govt officer","60,000 to 80,000 BDT","Yes","Weekly","More than 10 time","No","I think its not safe","Yes","Yes","Foodpanda","Credit card","Yes","Main precautions against pendamic","Yes","Yes","Evening","Yes","Promo codes;Discount","Contact less delivery;Free Sanitization tool (ex. Alchohol Pad) provided for disinfection","Yes","Add sanitation option;promote cashless delivery","bad packaging;Item missing;Wrong food delivered","responded immidiately",""
"2020/11/14 4:10:26 PM GMT+6","Sub Urban area","Family","36-50 Years","Male","Service holder","60,000 to 80,000 BDT","Yes","Occationally","At least 5 times","Not always","They are not careful about Covid-19 disease sometimes. ","Yes","Yes","Foodpanda;Pathao Food","Cash on delivery","Yes","Be more cautious and provide safety","Yes","No","Evening","Yes","Promo codes;Free Delivery;Discount;Safety issue","Contact less delivery","Yes","Add contactless delivery;Add sanitation option","No safety measures","responded lately","no"
"2020/11/14 5:06:30 PM GMT+6","Urban area","Family","19-25 Years","Female","Student","No income","Yes","Daily","Once / Twice","Yes","Delicious food when I want😋","Yes","Yes","Foodpanda","Cash on delivery","Yes","No","Yes","Yes","Morning","No","Save time and effort","Contact less delivery","No","","No safety measures","I didn't face problem","Online delivery system save my time with less effort."
"2020/12/17 6:40:05 PM GMT+6","Sub Urban area","Family","26-35 Years","Male","Student","less than 20,000 BDT","Yes","Occationally","At least 5 times","Yes","It helps in social distancing.","Not Always","Yes","Foodpanda;Pathao Food;Uber Eats","Cash on delivery","Maybe","Yes","Not Always","Yes","Night","Yes","Promo codes;Free Delivery;Discount;Dine in insecurity during pendemic;Safety issue;Save time and effort;Enthusiasm for food","Contact less delivery;Cashless payment system","Yes","Add contactless delivery;Add sanitation option;promote cashless delivery;sanitation for delivery man","No safety measures;excessive delay in delivary;Delivary  man cant get the location","responded lately",""
"2020/12/17 6:43:52 PM GMT+6","Urban area","Family","Over 51 years","Male","bank officer","60,000 to 80,000 BDT","Yes","Weekly","More than 10 time","Yes","Because I can have the food without going out.","Yes","Yes","Foodpanda;Shohoz Food;Specific restaurants own website / App / portal (Ex. Pizza Hut)","Credit card","Yes","Insure food safety","Yes","Yes","Evening","Yes","Dine in insecurity during pendemic;Safety issue;Save time and effort","Contact less delivery;Cashless payment system;Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","Add contactless delivery;promote cashless delivery","bad packaging;damage food;Item missing","responded immidiately",""
"2020/12/17 6:44:55 PM GMT+6","Urban area","Family","36-50 Years","Male","","40,000 to 60,000 BDT","Yes","Occationally","At least 5 times","Yes","I could avoid the crowd of people in restaurants.","Yes","Yes","Foodpanda;Shohoz Food;Pathao Food;Uber Eats","Credit card","Yes","Hygiene and sanitization","Yes","Yes","Night","Yes","Promo codes;Free Delivery;Discount;Dine in insecurity during pendemic;Safety issue;Save time and effort;Enthusiasm for food","Contact less delivery;Their advertisement of hygiene;Cashless payment system;Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","Add contactless delivery;promote cashless delivery","excessive delay in delivary;Delivary  man cant get the location","responded lately",""
"2020/12/17 6:49:36 PM GMT+6","Urban area","Alone","26-35 Years","Male","Software engineering","60,000 to 80,000 BDT","Yes","Daily","At least 5 times","Yes","Don't need to take the risk of going to restaurants.","Yes","Yes","Foodpanda;Shohoz Food;Pathao Food;Uber Eats","Credit card","Yes","Good location service","Yes","Yes","Night","Yes","Promo codes;Free Delivery;Discount;Dine in insecurity during pendemic;Safety issue;Save time and effort;Enthusiasm for food","Contact less delivery;Their advertisement of hygiene;Cashless payment system","Yes","Add sanitation option;promote cashless delivery","bad packaging;Delivary  man cant get the location","responded immidiately",""
"2020/12/17 6:51:37 PM GMT+6","Urban area","Family","36-50 Years","Female","Bank officer","60,000 to 80,000 BDT","Yes","Weekly","More than 10 time","Yes","Cause its risky to get out side","No","Yes","Foodpanda;Shohoz Food;Pathao Food;Uber Eats","Credit card","Yes","insure food safety","Yes","Yes","Evening","No","Dine in insecurity during pendemic;Safety issue;Save time and effort;Enthusiasm for food","Contact less delivery;Their advertisement of hygiene;Free Sanitization tool (ex. Alchohol Pad) provided for disinfection","Yes","Add contactless delivery;promote cashless delivery","excessive delay in delivary;Order cancellation withput reason;damage food;Item missing","responded immidiately",""
"2020/12/17 6:52:51 PM GMT+6","Urban area","Family","26-35 Years","Male","","40,000 to 60,000 BDT","Yes","Occationally","Once / Twice","Yes","Maintaining social distance","Yes","Yes","Foodpanda;Pathao Food;Uber Eats","Cash on delivery","Yes","Location service","Yes","Yes","Night","Yes","Promo codes;Free Delivery;Discount;Dine in insecurity during pendemic;Safety issue;Save time and effort","Their advertisement of hygiene;Cashless payment system","Yes","promote cashless delivery","Delivary  man cant get the location","Did not response",""
"2020/12/17 6:55:30 PM GMT+6","Urban area","Family","26-35 Years","Male","","20,000 to 40,000 BDT","Yes","Occationally","Once / Twice","Yes","Avoid huge human contact","Yes","Yes","Foodpanda;Pathao Food;Uber Eats","Cash on delivery","Yes","","Yes","Yes","Night","Yes","Promo codes;Free Delivery;Discount;Dine in insecurity during pendemic;Safety issue;Save time and effort;Enthusiasm for food","Their advertisement of hygiene;Cashless payment system","Yes","promote cashless delivery","No safety measures;excessive delay in delivary;Delivary  man cant get the location","responded lately",""
"2020/12/17 6:58:32 PM GMT+6","Urban area","Alone","26-35 Years","Male","","40,000 to 60,000 BDT","Yes","Daily","At least 5 times","Yes","Physical distance","Yes","Yes","Foodpanda;Pathao Food;Uber Eats","Credit card","Yes","Better location tracker","Not Always","Yes","Morning","Yes","Dine in insecurity during pendemic;Safety issue;Save time and effort","Their advertisement of hygiene;Cashless payment system","Yes","promote cashless delivery","excessive delay in delivary;Order cancellation withput reason;bad packaging;damage food;Delivary  man cant get the location","Did not response",""
"2020/12/17 7:00:30 PM GMT+6","Urban area","Alone","36-50 Years","Male","Business executive","40,000 to 60,000 BDT","Yes","Weekly","More than 10 time","Yes","cause they deliver the food at home","Yes","Yes","Foodpanda;Shohoz Food;Pathao Food","MFS (bkash /Nogodh )","Yes","Ensure timeliness","Yes","Yes","Night","Yes","Promo codes;Free Delivery;Discount","Contact less delivery;Their advertisement of hygiene;Free Sanitization tool (ex. Alchohol Pad) provided for disinfection;Cashless payment system","Yes","Add contactless delivery;Add sanitation option;promote cashless delivery","No safety measures;excessive delay in delivary;bad packaging","responded immidiately",""
"2020/12/17 7:07:40 PM GMT+6","Urban area","Family","Over 51 years","Female","Teacher","60,000 to 80,000 BDT","No","Weekly","More than 10 time","No","Because its risky to have outside food","Not Always","Yes","Foodpanda;Shohoz Food;Pathao Food","Cash on delivery","Yes","Insure food hygiene","Not Always","Yes","Evening","No","Save time and effort;Enthusiasm for food","Their advertisement of hygiene;Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","Add contactless delivery;Add sanitation option","No safety measures;excessive delay in delivary","responded immidiately",""
"2020/12/17 7:11:46 PM GMT+6","Sub Urban area","Family","26-35 Years","Female","","less than 20,000 BDT","Yes","Occationally","Once / Twice","Yes","Avoiding crowd","Yes","Yes","Foodpanda;Shohoz Food;Pathao Food;Specific restaurants own website / App / portal (Ex. Pizza Hut);Uber Eats;Restaurants Facebook Page","Cash on delivery","Yes","More restaurants should be included","Not Always","Yes","Night","Yes","Promo codes;Free Delivery;Discount;Dine in insecurity during pendemic;Safety issue;Save time and effort","Their advertisement of hygiene;Cashless payment system","Yes","Add contactless delivery;promote cashless delivery","excessive delay in delivary;Order cancellation withput reason;bad packaging;damage food;Delivary  man cant get the location","Did not response",""
"2020/12/17 7:19:02 PM GMT+6","Urban area","Alone","26-35 Years","Female","","40,000 to 60,000 BDT","Yes","Daily","Once / Twice","Yes","Avoid contact with people","Yes","Yes","Foodpanda;Shohoz Food;Pathao Food;Specific restaurants own website / App / portal (Ex. Pizza Hut);Uber Eats;Restaurants Facebook Page","Cash on delivery","Yes","","Yes","Yes","Night","Yes","Dine in insecurity during pendemic;Safety issue;Save time and effort","Contact less delivery;Their advertisement of hygiene;Cashless payment system;Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","Add contactless delivery;Add sanitation option;promote cashless delivery;sanitation for delivery man","excessive delay in delivary;Order cancellation withput reason;bad packaging;Delivary  man cant get the location","responded lately",""
"2020/12/17 7:19:04 PM GMT+6","Urban area","Family","26-35 Years","Male","Banker","less than 20,000 BDT","No","Daily","More than 10 time","Yes","because it is safe ","Yes","Yes","Foodpanda","MFS (bkash /Nogodh )","Yes","they should wear mask","Yes","Yes","Evening","No","Safety issue","Contact less delivery","Yes","Add contactless delivery","Delivery man misbehave","responded immidiately","online food delivery is great"
"2020/12/17 7:23:20 PM GMT+6","Sub Urban area","Alone","36-50 Years","Male","Govt. Officer","20,000 to 40,000 BDT","No","Weekly","Once / Twice","No","because the delivery man wear no mask","No","No","Restaurants Facebook Page","Cash on delivery","No","the delivery man should wear mask and gloves","No","No","Night","Yes","Free Delivery","Contact less delivery","No","Add sanitation option","excessive delay in delivary","Did not response","poor condition"
"2020/12/17 7:23:24 PM GMT+6","Sub Urban area","Family","26-35 Years","Male","","No income","Partially","Never","never","Not always","Maybe social distancing","Not Always","Sometimes","Foodpanda;Pathao Food;Uber Eats","Cash on delivery","Maybe","","Not Always","No","Night","No","Safety issue","Contact less delivery;Their advertisement of hygiene","Yes","Add contactless delivery;promote cashless delivery","","I didn't face problem",""
"2020/12/17 7:27:16 PM GMT+6","Urban area","Family","26-35 Years","Male","Doctor","40,000 to 60,000 BDT","Partially","Weekly","At least 5 times","Not always","Because the packaging is poor ","Not Always","Sometimes","Shohoz Food","Credit card","Maybe","their safety","Not Always","Yes","Morning","No","Discount","Their advertisement of hygiene","No","sanitation for delivery man","bad packaging","responded lately","Moderate condition "
"2020/12/17 7:30:20 PM GMT+6","Urban area","Family","Over 51 years","Male","Retired Tax commisioner","Above 80,000 BDT","No","Occationally","More than 10 time","Yes","Cause its not safe to go to restaurants","Yes","Yes","Foodpanda;Shohoz Food;Pathao Food","Credit card","Yes","Insure food safety","Yes","Yes","Evening","No","Dine in insecurity during pendemic;Safety issue;Save time and effort","Contact less delivery;Cashless payment system;Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","Add contactless delivery;Add sanitation option","No safety measures;excessive delay in delivary","responded immidiately",""
"2020/12/17 7:30:31 PM GMT+6","Urban area","Alone","26-35 Years","Female","","40,000 to 60,000 BDT","Partially","Occationally","Once / Twice","Yes","Avoid possibility of getting affected by viruses.","Not Always","Sometimes","Foodpanda;Pathao Food;Uber Eats","Credit card","Yes","","Yes","Yes","Night","Yes","Dine in insecurity during pendemic;Safety issue;Save time and effort","Their advertisement of hygiene","Yes","promote cashless delivery","Delivary  man cant get the location","responded lately",""
"2020/12/17 7:31:18 PM GMT+6","Sub Urban area","Alone","36-50 Years","Male","Engineer","60,000 to 80,000 BDT","No","Occationally","Once / Twice","Yes","Because they ensure safety","Yes","Yes","Pathao Food","others","Yes","their delivery time","Yes","Yes","Afternoon","Yes","Dine in insecurity during pendemic","Free Sanitization tool (ex. Alchohol Pad) provided for disinfection","No","promote cashless delivery","damage food","I didn't face problem","Their safety issue should be develope"
"2020/12/17 7:33:20 PM GMT+6","Rural area","Family","19-25 Years","Female","Student","No income","Partially","Occationally","Once / Twice","Not always","Because we should not go out from home","Yes","Yes","Foodpanda","Cash on delivery","Maybe","Maybe","Yes","Yes","Evening","No","Safety issue","Contact less delivery","No","","No safety measures","I didn't face problem","No"
"2020/12/17 7:33:31 PM GMT+6","Sub Urban area","Family","26-35 Years","Female","House wife","No income","No","Monthly","At least 5 times","Not always","because sometimes they are not safe","No","Sometimes","Uber Eats","MFS (bkash /Nogodh )","No","","No","No","Night","No","Enthusiasm for food","Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","Add sanitation option","Delivery man misbehave","I didn't face problem","OFD is good"
"2020/12/17 7:37:03 PM GMT+6","Sub Urban area","Family","26-35 Years","Male","Business man","Above 80,000 BDT","Yes","Daily","More than 10 time","Yes","It is safe than local food","Yes","Yes","Specific restaurants own website / App / portal (Ex. Pizza Hut)","Cash on delivery","Yes","The safety of the food they deliver","Yes","Yes","Afternoon","Yes","Enthusiasm for food","Cashless payment system","Yes","sanitation for delivery man","Delivery man misbehave","Did not response","Their delivery man should behave nicely"
"2020/12/17 7:40:32 PM GMT+6","Sub Urban area","Family","19-25 Years","Male","","No income","Partially","Never","never","Not always","Delivery person may be affected","Not Always","Sometimes","Pathao Food;Uber Eats","Cash on delivery","Maybe","","Not Always","No","Night","Yes","Promo codes;Free Delivery;Discount","Cashless payment system","Yes","promote cashless delivery","No safety measures;Delivary  man cant get the location","responded lately",""
"2020/12/17 7:41:28 PM GMT+6","Sub Urban area","Family","19-25 Years","Female","Student","No income","Yes","Occationally","Once / Twice","Not always","😒","Not Always","Yes","Foodpanda","Cash on delivery","Maybe","Maybe","Not Always","Yes","Evening","Yes","Safety issue;Save time and effort","Contact less delivery;Their advertisement of hygiene;Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","promote cashless delivery;sanitation for delivery man","No safety measures","responded lately","No"
"2020/12/17 7:42:04 PM GMT+6","Sub Urban area","Alone","26-35 Years","Male","Lawyer","40,000 to 60,000 BDT","No","Never","never","No","Because they don't ensure safety","No","No","Specific restaurants own website / App / portal (Ex. Pizza Hut)","others","No","They should ensure the safety of the food","No","No","Night","No","Enthusiasm for food","Contact less delivery","No","Add contactless delivery","Order cancellation withput reason","Did not response","Poor Condition"
"2020/12/17 7:42:35 PM GMT+6","Sub Urban area","Family","19-25 Years","Female","student ","No income","Partially","Occationally","never","Not always","quantity nad qulity issue","Not Always","Sometimes","Foodpanda","Cash on delivery","Maybe","yes","No","No","Afternoon","Yes","Free Delivery;Discount","Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","sanitation for delivery man","Item missing;Delivary  man cant get the location","I didn't face problem",""
"2020/12/17 7:43:01 PM GMT+6","Urban area","Family","26-35 Years","Female","গৃহিণী ","No income","Yes","Weekly","Once / Twice","Yes","কারন বাসা থেকে বের হতে হয় না","Yes","Yes","Foodpanda","MFS (bkash /Nogodh )","Yes","","No","Yes","Evening","No","Promo codes","Restaurants with Hygiene tag(where OFD ensures food  safety)","No","","","responded immidiately",""
"2020/12/17 7:43:10 PM GMT+6","Urban area","Alone","26-35 Years","Male","","less than 20,000 BDT","Yes","Occationally","Once / Twice","Yes","Safety from covid 19","Not Always","Sometimes","Foodpanda;Shohoz Food;Pathao Food;Specific restaurants own website / App / portal (Ex. Pizza Hut);Uber Eats;Restaurants Facebook Page","Cash on delivery","Yes","","Not Always","No","Night","Yes","Dine in insecurity during pendemic;Safety issue;Save time and effort","Contact less delivery;Their advertisement of hygiene;Cashless payment system;Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","Add contactless delivery;Add sanitation option;promote cashless delivery","bad packaging;Delivary  man cant get the location","Did not response",""
"2020/12/17 7:46:20 PM GMT+6","Urban area","Family","26-35 Years","Female","Waitress","less than 20,000 BDT","Yes","Occationally","Once / Twice","Yes","Because it is better than street food","Not Always","Yes","Restaurants Facebook Page","Cash on delivery","Yes","They should decrease the food prize","Yes","Yes","Night","Yes","Save time and effort","Cashless payment system","Yes","Add sanitation option","Wrong food delivered","responded lately","They should deliver more swiftly"
"2020/12/17 7:48:45 PM GMT+6","Urban area","Family","19-25 Years","Female","Student ","No income","Yes","Occationally","Once / Twice","Not always","For the pandemic situation i don't feel safe usingofd ","Not Always","Yes","Foodpanda","Cash on delivery","Maybe","Yes","Not Always","Yes","Evening","Yes","Discount","Their advertisement of hygiene","No","","","I didn't face problem","No"
"2020/12/17 7:51:23 PM GMT+6","Sub Urban area","Family","36-50 Years","Female","Nurse","less than 20,000 BDT","No","Daily","More than 10 time","Yes","they deliver on time","Yes","Yes","Shohoz Food","Cash on delivery","Yes","Their Discount","Yes","Yes","Afternoon","Yes","Save time and effort","Cashless payment system","Yes","Add sanitation option","Delivary  man cant get the location","responded immidiately","OFD is Good"
"2020/12/17 7:55:23 PM GMT+6","Urban area","Alone","36-50 Years","Male","Call center agent","20,000 to 40,000 BDT","No","Daily","More than 10 time","Yes","They Deliver quality food","Yes","Yes","Uber Eats","MFS (bkash /Nogodh )","Maybe","They should increase the safety issue","Yes","Yes","Evening","Yes","Safety issue","Free Sanitization tool (ex. Alchohol Pad) provided for disinfection","Yes","promote cashless delivery","Wrong food delivered","Did not response","They should increase the safety issue"
"2020/12/17 7:58:11 PM GMT+6","Urban area","Family","26-35 Years","Male","Job","20,000 to 40,000 BDT","Yes","Occationally","never","Not always","No","Yes","Yes","efood","others","Yes","No","Yes","Yes","Evening","No","Save time and effort","Restaurants with Hygiene tag(where OFD ensures food  safety)","No","","No","I didn't face problem","Nice points find out to be servey. Best of luck."
"2020/12/17 7:58:12 PM GMT+6","Sub Urban area","Alone","26-35 Years","Male","teacher","20,000 to 40,000 BDT","Partially","Weekly","At least 5 times","Yes","Because they deliver quality food","Yes","Yes","Foodpanda","Credit card","Yes","Their packaging","Yes","Yes","Evening","Yes","Promo codes","Contact less delivery","Yes","Add contactless delivery","No safety measures","Did not response","Their Delivery is great "
"2020/12/17 7:58:23 PM GMT+6","Sub Urban area","Family","26-35 Years","Male","","No income","Partially","Occationally","Once / Twice","Yes","Social distancing","Not Always","Sometimes","Foodpanda;Pathao Food;Uber Eats","Cash on delivery","Yes","","Not Always","No","Night","No","Promo codes;Free Delivery;Discount;Enthusiasm for food","Their advertisement of hygiene","Yes","Add contactless delivery;promote cashless delivery","","I didn't face problem",""
"2020/12/17 7:59:57 PM GMT+6","Urban area","Family","12-18 Years","Female","Student","No income","No","Monthly","More than 10 time","Yes","The answer is ""yes"" because online food delivery save time","Yes","Yes","Foodpanda","Cash on delivery","Yes","Yes","","Yes","Evening","Yes","Promo codes;Free Delivery;Discount","Their advertisement of hygiene;Cashless payment system;Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","promote cashless delivery;sanitation for delivery man","Delivary  man cant get the location","Did not response",""
"2020/12/17 8:13:09 PM GMT+6","Urban area","Alone","26-35 Years","Male","","40,000 to 60,000 BDT","Partially","Occationally","Once / Twice","Not always","I am not sure.","Not Always","Sometimes","Foodpanda;Shohoz Food;Pathao Food;Specific restaurants own website / App / portal (Ex. Pizza Hut);Uber Eats;Restaurants Facebook Page","Cash on delivery","Maybe","","Not Always","Yes","Night","No","Dine in insecurity during pendemic;Safety issue;Save time and effort","Contact less delivery;Their advertisement of hygiene;Cashless payment system","Yes","Add contactless delivery;promote cashless delivery","","I didn't face problem",""
"2020/12/17 8:14:41 PM GMT+6","Urban area","Family","19-25 Years","Female","Student","No income","No","Occationally","More than 10 time","Yes","No problem for covid-19","Not Always","Yes","Foodpanda","Cash on delivery","Maybe","No need","Yes","No","Morning","No","Enthusiasm for food","Nothing","No","","No safety measures","I didn't face problem","No problem"
"2020/12/17 8:15:41 PM GMT+6","Urban area","Alone","36-50 Years","Male","","40,000 to 60,000 BDT","Yes","Occationally","At least 5 times","Yes","Don't have to go out in the crowd","Yes","Yes","Foodpanda;Shohoz Food;Pathao Food;Specific restaurants own website / App / portal (Ex. Pizza Hut);Uber Eats;Restaurants Facebook Page","Cash on delivery","Yes","","Yes","Yes","Night","Yes","Promo codes;Free Delivery;Discount;Dine in insecurity during pendemic;Safety issue;Save time and effort","Their advertisement of hygiene;Cashless payment system","Yes","Add contactless delivery;promote cashless delivery","","I didn't face problem",""
"2020/12/17 8:19:30 PM GMT+6","Urban area","Family","12-18 Years","Male","Student","No income","Yes","Weekly","Once / Twice","Not always","Because I think if I order online food during pandemic then there is a lot of chance that coronavirus will affect means my family.","Not Always","Sometimes","Foodpanda","Cash on delivery","Yes","They should insure the cleaning of restaurants.","Yes","Yes","Evening","Yes","Save time and effort","Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","sanitation for delivery man","Delivary  man cant get the location","I didn't face problem","Please improve online food delivery and help us to get a safe and healthy society 😊"
"2020/12/17 8:21:11 PM GMT+6","Urban area","Family","36-50 Years","Female","","No income","Partially","Occationally","Once / Twice","Yes","Safe distance","Yes","Yes","Foodpanda;Shohoz Food;Pathao Food;Specific restaurants own website / App / portal (Ex. Pizza Hut);Uber Eats;Restaurants Facebook Page","MFS (bkash /Nogodh )","Yes","","Yes","Yes","Night","No","Free Delivery;Discount;Dine in insecurity during pendemic;Safety issue;Save time and effort","Their advertisement of hygiene;Cashless payment system","Yes","Add contactless delivery;promote cashless delivery","","I didn't face problem",""
